source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[genotype comparison]	factor value[sample material]
171109_C2C12_WT_H_KO_L_LYSATE_1	Mus musculus	cell culture	C2C12	1	171109_C2C12_WT_H_KO_L_LYSATE_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	1	1	171109_C2C12_WT_H_KO_L_LYSATE_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT heavy / ZBED6-KO light	lysate
171109_C2C12_WT_H_KO_L_LYSATE_2	Mus musculus	cell culture	C2C12	1	171109_C2C12_WT_H_KO_L_LYSATE_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	2	1	171109_C2C12_WT_H_KO_L_LYSATE_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT heavy / ZBED6-KO light	lysate
171109_C2C12_WT_H_KO_L_LYSATE_3	Mus musculus	cell culture	C2C12	1	171109_C2C12_WT_H_KO_L_LYSATE_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	3	1	171109_C2C12_WT_H_KO_L_LYSATE_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT heavy / ZBED6-KO light	lysate
171109_C2C12_WT_H_KO_L_LYSATE_4	Mus musculus	cell culture	C2C12	1	171109_C2C12_WT_H_KO_L_LYSATE_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	4	1	171109_C2C12_WT_H_KO_L_LYSATE_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT heavy / ZBED6-KO light	lysate
171109_C2C12_WT_H_KO_L_LYSATE_5	Mus musculus	cell culture	C2C12	1	171109_C2C12_WT_H_KO_L_LYSATE_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	5	1	171109_C2C12_WT_H_KO_L_LYSATE_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT heavy / ZBED6-KO light	lysate
171109_C2C12_WT_H_KO_L_LYSATE_6	Mus musculus	cell culture	C2C12	1	171109_C2C12_WT_H_KO_L_LYSATE_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	6	1	171109_C2C12_WT_H_KO_L_LYSATE_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT heavy / ZBED6-KO light	lysate
171109_C2C12_WT_H_KO_L_LYSATE_7	Mus musculus	cell culture	C2C12	1	171109_C2C12_WT_H_KO_L_LYSATE_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	7	1	171109_C2C12_WT_H_KO_L_LYSATE_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT heavy / ZBED6-KO light	lysate
171109_C2C12_WT_H_KO_L_LYSATE_8	Mus musculus	cell culture	C2C12	1	171109_C2C12_WT_H_KO_L_LYSATE_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	8	1	171109_C2C12_WT_H_KO_L_LYSATE_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT heavy / ZBED6-KO light	lysate
171109_C2C12_WT_H_KO_L_LYSATE_9	Mus musculus	cell culture	C2C12	1	171109_C2C12_WT_H_KO_L_LYSATE_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	9	1	171109_C2C12_WT_H_KO_L_LYSATE_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT heavy / ZBED6-KO light	lysate
171109_C2C12_WT_H_KO_L_LYSATE_10	Mus musculus	cell culture	C2C12	1	171109_C2C12_WT_H_KO_L_LYSATE_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion ETD;AC=MS:1002417	NT=SILAC;AC=MS:1002010;TA=Arg10,Lys8	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Arg10;AC=UNIMOD:267;TA=R;MT=Variable	NT=Lys8;AC=UNIMOD:259;TA=K;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable; NT=Acetyl;AC=UNIMOD:1;TA=Protein N-term;MT=Variable	10	1	171109_C2C12_WT_H_KO_L_LYSATE_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	WT heavy / ZBED6-KO light	lysate
