source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[sample material]	factor value[experimental condition]
FFPE12	Homo sapiens	urinary bladder	not available	urinary bladder cancer	12	FFPE12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FFPE12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	formalin-fixed paraffin-embedded
FFPE14_181207201221	Homo sapiens	urinary bladder	not available	urinary bladder cancer	14	FFPE14_181207201221	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FFPE14_181207201221.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	formalin-fixed paraffin-embedded
FFPE7	Homo sapiens	urinary bladder	not available	urinary bladder cancer	7	FFPE7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FFPE7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	formalin-fixed paraffin-embedded
FFPE1_181207172808	Homo sapiens	urinary bladder	not available	urinary bladder cancer	1	FFPE1_181207172808	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FFPE1_181207172808.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	formalin-fixed paraffin-embedded
OCT2	Homo sapiens	urinary bladder	not available	urinary bladder cancer	2	OCT2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	OCT2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	OCT/frozen
FFPE10	Homo sapiens	urinary bladder	not available	urinary bladder cancer	10	FFPE10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FFPE10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	formalin-fixed paraffin-embedded
FFPE20	Homo sapiens	urinary bladder	not available	urinary bladder cancer	20	FFPE20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FFPE20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	formalin-fixed paraffin-embedded
FFPE15_181207225656	Homo sapiens	urinary bladder	not available	urinary bladder cancer	15	FFPE15_181207225656	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FFPE15_181207225656.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	formalin-fixed paraffin-embedded
FFPE19	Homo sapiens	urinary bladder	not available	urinary bladder cancer	19	FFPE19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FFPE19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	formalin-fixed paraffin-embedded
OCT12	Homo sapiens	urinary bladder	not available	urinary bladder cancer	12	OCT12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	OCT12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	OCT/frozen
OCT11	Homo sapiens	urinary bladder	not available	urinary bladder cancer	11	OCT11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	OCT11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	OCT/frozen
OCT14	Homo sapiens	urinary bladder	not available	urinary bladder cancer	14	OCT14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	OCT14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	OCT/frozen
FFPE13	Homo sapiens	urinary bladder	not available	urinary bladder cancer	13	FFPE13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FFPE13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	formalin-fixed paraffin-embedded
OCT6	Homo sapiens	urinary bladder	not available	urinary bladder cancer	6	OCT6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	OCT6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	OCT/frozen
OCT7	Homo sapiens	urinary bladder	not available	urinary bladder cancer	7	OCT7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	OCT7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	OCT/frozen
FFPE2	Homo sapiens	urinary bladder	not available	urinary bladder cancer	2	FFPE2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FFPE2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	formalin-fixed paraffin-embedded
OCT13	Homo sapiens	urinary bladder	not available	urinary bladder cancer	13	OCT13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	OCT13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	OCT/frozen
FFPE9	Homo sapiens	urinary bladder	not available	urinary bladder cancer	9	FFPE9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FFPE9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	formalin-fixed paraffin-embedded
FFPE11	Homo sapiens	urinary bladder	not available	urinary bladder cancer	11	FFPE11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	FFPE11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	formalin-fixed paraffin-embedded
OCT9	Homo sapiens	urinary bladder	not available	urinary bladder cancer	9	OCT9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	OCT9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	OCT/frozen
OCT19	Homo sapiens	urinary bladder	not available	urinary bladder cancer	19	OCT19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	OCT19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	OCT/frozen
OCT20	Homo sapiens	urinary bladder	not available	urinary bladder cancer	20	OCT20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	OCT20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	tumor tissue	OCT/frozen
