source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
Giardia_lamblia_WBC6_bio1	Giardia duodenalis	cell	trophozoite	1	study sample	not available	not available	20190212_2_WBC6_JM_i01.raw	proteomic profiling by mass spectrometry	01	20190212_2_WBC6_JM_i01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_WBC6_bio1	Giardia duodenalis	cell	trophozoite	1	study sample	not available	not available	20190212_2_WBC6_JM_i02.raw	proteomic profiling by mass spectrometry	02	20190212_2_WBC6_JM_i02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_WBC6_bio1	Giardia duodenalis	cell	trophozoite	1	study sample	not available	not available	20190212_2_WBC6_JM_i03.raw	proteomic profiling by mass spectrometry	03	20190212_2_WBC6_JM_i03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_A1_bio1	Giardia duodenalis	cell	trophozoite	1	study sample	not available	not available	20190212_6_A1_JM_i01.raw	proteomic profiling by mass spectrometry	01	20190212_6_A1_JM_i01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_A1_bio1	Giardia duodenalis	cell	trophozoite	1	study sample	not available	not available	20190212_6_A1_JM_i02.raw	proteomic profiling by mass spectrometry	02	20190212_6_A1_JM_i02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_A1_bio1	Giardia duodenalis	cell	trophozoite	1	study sample	not available	not available	20190212_6_A1_JM_i03.raw	proteomic profiling by mass spectrometry	03	20190212_6_A1_JM_i03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_H7_bio1	Giardia duodenalis	cell	trophozoite	1	study sample	not available	not available	20190212_7_H7_JM_i01.raw	proteomic profiling by mass spectrometry	01	20190212_7_H7_JM_i01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_H7_bio1	Giardia duodenalis	cell	trophozoite	1	study sample	not available	not available	20190212_7_H7_JM_i02.raw	proteomic profiling by mass spectrometry	02	20190212_7_H7_JM_i02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_H7_bio1	Giardia duodenalis	cell	trophozoite	1	study sample	not available	not available	20190212_7_H7_JM_i03.raw	proteomic profiling by mass spectrometry	03	20190212_7_H7_JM_i03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_WBC6_bio2	Giardia duodenalis	cell	trophozoite	2	study sample	not available	not available	20190213_1_WBC6_JM_i01.raw	proteomic profiling by mass spectrometry	01	20190213_1_WBC6_JM_i01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_WBC6_bio2	Giardia duodenalis	cell	trophozoite	2	study sample	not available	not available	20190213_1_WBC6_JM_i02.raw	proteomic profiling by mass spectrometry	02	20190213_1_WBC6_JM_i02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_WBC6_bio2	Giardia duodenalis	cell	trophozoite	2	study sample	not available	not available	20190213_1_WBC6_JM_i03.raw	proteomic profiling by mass spectrometry	03	20190213_1_WBC6_JM_i03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_A1_bio2	Giardia duodenalis	cell	trophozoite	2	study sample	not available	not available	20190213_4_A1_JM_i01.raw	proteomic profiling by mass spectrometry	01	20190213_4_A1_JM_i01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_A1_bio2	Giardia duodenalis	cell	trophozoite	2	study sample	not available	not available	20190213_4_A1_JM_i02.raw	proteomic profiling by mass spectrometry	02	20190213_4_A1_JM_i02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_A1_bio2	Giardia duodenalis	cell	trophozoite	2	study sample	not available	not available	20190213_4_A1_JM_i03.raw	proteomic profiling by mass spectrometry	03	20190213_4_A1_JM_i03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_H7_bio2	Giardia duodenalis	cell	trophozoite	2	study sample	not available	not available	20190213_8_H7_JM_i01.raw	proteomic profiling by mass spectrometry	01	20190213_8_H7_JM_i01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_H7_bio2	Giardia duodenalis	cell	trophozoite	2	study sample	not available	not available	20190213_8_H7_JM_i02.raw	proteomic profiling by mass spectrometry	02	20190213_8_H7_JM_i02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_H7_bio2	Giardia duodenalis	cell	trophozoite	2	study sample	not available	not available	20190213_8_H7_JM_i03.raw	proteomic profiling by mass spectrometry	03	20190213_8_H7_JM_i03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
Giardia_lamblia_WBC6_bio3	Giardia duodenalis	cell	trophozoite	3	study sample	not available	not available	20190214_3_WBC6_JM_i01.raw	proteomic profiling by mass spectrometry	01	20190214_3_WBC6_JM_i01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable
