source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[experimental group]
HeLa pcDNA control replicate 1	Homo sapiens	cell culture	HeLa	1	pcDNA_1_fraction_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	1	1	240222_pcDNA_1-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pcDNA control
HeLa pcDNA control replicate 1	Homo sapiens	cell culture	HeLa	1	pcDNA_1_fraction_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	2	1	240222_pcDNA_1-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pcDNA control
HeLa pcDNA control replicate 1	Homo sapiens	cell culture	HeLa	1	pcDNA_1_fraction_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	3	1	240222_pcDNA_1-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pcDNA control
HeLa pcDNA control replicate 2	Homo sapiens	cell culture	HeLa	2	pcDNA_2_fraction_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	1	1	240222_pcDNA_2-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pcDNA control
HeLa pcDNA control replicate 2	Homo sapiens	cell culture	HeLa	2	pcDNA_2_fraction_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	2	1	240222_pcDNA_2-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pcDNA control
HeLa pcDNA control replicate 2	Homo sapiens	cell culture	HeLa	2	pcDNA_2_fraction_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	3	1	240222_pcDNA_2-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pcDNA control
HeLa pcDNA control replicate 3	Homo sapiens	cell culture	HeLa	3	pcDNA_3_fraction_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	1	1	240222_pcDNA_3-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pcDNA control
HeLa pcDNA control replicate 3	Homo sapiens	cell culture	HeLa	3	pcDNA_3_fraction_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	2	1	240222_pcDNA_3-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pcDNA control
HeLa pcDNA control replicate 3	Homo sapiens	cell culture	HeLa	3	pcDNA_3_fraction_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	3	1	240222_pcDNA_3-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	pcDNA control
HeLa C16orf87 expression construct replicate 1	Homo sapiens	cell culture	HeLa	1	C16_1_fraction_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	1	1	240222_C16_1-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 expression construct
