source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[sample material]	factor value[experimental condition]
Batch 029_F2	Homo sapiens	liver	hepatocyte	not available	1	Christine_TPA_180404_LysC_B2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180404_LysC_B2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	isolated hepatocyte	Batch 029_F2
Batch 029_F2	Homo sapiens	liver	hepatocyte	not available	1	Christine_TPA_180404_Try_B2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180404_Try_B2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	isolated hepatocyte	Batch 029_F2
Batch 029_F3	Homo sapiens	liver	hepatocyte	not available	2	Christine_TPA_180404_LysC_B3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180404_LysC_B3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	isolated hepatocyte	Batch 029_F3
Batch 029_F3	Homo sapiens	liver	hepatocyte	not available	2	Christine_TPA_180404_Try_B3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180404_Try_B3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	isolated hepatocyte	Batch 029_F3
Batch 029_F4	Homo sapiens	liver	hepatocyte	not available	3	Christine_TPA_180404_LysC_B4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180404_LysC_B4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	isolated hepatocyte	Batch 029_F4
Batch 029_F4	Homo sapiens	liver	hepatocyte	not available	3	Christine_TPA_180404_Try_B4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180404_Try_B4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	isolated hepatocyte	Batch 029_F4
Batch 029_F5	Homo sapiens	liver	hepatocyte	not available	4	Christine_TPA_180404_LysC_B5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180404_LysC_B5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	isolated hepatocyte	Batch 029_F5
Batch 029_F5	Homo sapiens	liver	hepatocyte	not available	4	Christine_TPA_180404_Try_B5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180404_Try_B5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	isolated hepatocyte	Batch 029_F5
Batch 029_F6	Homo sapiens	liver	hepatocyte	not available	5	Christine_TPA_180404_LysC_B6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180404_LysC_B6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	isolated hepatocyte	Batch 029_F6
Batch 029_F6	Homo sapiens	liver	hepatocyte	not available	5	Christine_TPA_180404_Try_B6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_TPA_180404_Try_B6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	isolated hepatocyte	Batch 029_F6
