Product;Panel;PanelVersion;PlateID;WellID;SampleID;SampleType;Assay;UniProt;OlinkID;Ct;NPX;LOD;BelowLOD;QuantifiedValue;Unit;LODQuant;LLOQ;LQL;BelowLQL;ULOQ;AboveULOQ;SampleQC;AssayQC;MissingFreq;Normalization;SoftwareVersion;SoftwareName;AssayType;QCDeviationDetCtrl;QCDeviationIncCtrl
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CCL11;P51671;OID05594;1.409.375;947.761;0.49808;FALSE;6.678.820;pg/mL;0.07031;0.47467;0.47467;FALSE;2.112.040.552;FALSE;PASS;PASS;100.000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CCL13;Q99616;OID05602;1.184.062;1.261.418;156.063;FALSE;4.930.492;pg/mL;0.00545;0.05960;0.05960;FALSE;195.312.500;FALSE;PASS;PASS;0.37500;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CCL19;Q99731;OID05607;1.321.877;1.202.752;225.979;FALSE;7.337.819;pg/mL;0.05449;0.95367;0.95367;FALSE;97.656.250;FALSE;PASS;PASS;0.50000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CCL2;P13500;OID05619;1.007.236;1.351.029;0.87813;FALSE;39.519.659;pg/mL;0.00789;0.23842;0.23842;FALSE;390.625.002;FALSE;PASS;PASS;0.00000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CCL3;P10147;OID05611;1.533.316;801.548;227.661;FALSE;358.332;pg/mL;0.01157;0.05109;0.05109;FALSE;136.445.024;FALSE;PASS;PASS;0.50000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CCL4;P13236;OID05623;1.368.238;920.824;-0.29344;FALSE;4.970.238;pg/mL;NA;0.11921;0.11921;FALSE;390.625.001;FALSE;PASS;PASS;0.50000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CCL7;P80098;OID05626;1.554.610;807.281;199.071;FALSE;622.186;pg/mL;0.05921;0.11921;0.11921;FALSE;195.312.500;FALSE;PASS;PASS;0.00000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CCL8;P80075;OID05580;1.181.645;1.018.847;0.83753;FALSE;1.506.369;pg/mL;0.00493;0.02980;0.02980;FALSE;195.312.500;FALSE;PASS;PASS;0.12500;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CSF1;P09603;OID05622;1.210.701;1.146.040;125.498;FALSE;14.728.684;pg/mL;0.00765;0.14814;0.14814;FALSE;262.248.569;FALSE;PASS;PASS;0.00000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CSF2;P04141;OID05614;1.601.672;874.693;136.985;FALSE;527.975;pg/mL;0.00988;0.28971;0.28971;FALSE;564.864.586;FALSE;PASS;WARN;0.00000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CSF3;P09919;OID05615;1.497.495;623.360;-0.97490;FALSE;25.867.759;pg/mL;0.30748;1.037.567;1.037.567;FALSE;4.513.179.108;FALSE;PASS;PASS;0.50000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CXCL10;P02778;OID05604;1.253.738;1.088.430;265.718;FALSE;7.646.415;pg/mL;0.20023;0.44190;0.44190;FALSE;325.569.721;FALSE;PASS;PASS;0.00000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CXCL11;O14625;OID05624;1.286.329;878.346;-0.77902;FALSE;2.835.874;pg/mL;NA;0.11921;0.11921;FALSE;195.312.499;FALSE;PASS;PASS;0.37500;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CXCL12;P48061;OID05582;1.866.567;612.834;247.383;FALSE;33.855.114;pg/mL;4.058.936;5.474.972;5.474.972;FALSE;3.124.999.966;FALSE;PASS;PASS;100.000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CXCL8;P10145;OID05612;1.534.760;795.564;-0.04876;FALSE;452.940;pg/mL;NA;0.30225;0.30225;FALSE;290.832.512;FALSE;PASS;PASS;0.50000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;CXCL9;Q07325;OID05587;1.123.428;816.924;-0.49739;FALSE;4.252.451;pg/mL;0.01744;0.20358;0.20358;FALSE;259.112.023;FALSE;PASS;PASS;0.00000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;Det Ctrl;NA;OID05599;1.019.116;0.13273;0.08104;FALSE;NA;NA;NA;NA;NA;FALSE;NA;FALSE;PASS;NA;100.000;Calibrator Normalized;2.2.1;NPX Signature;det_ctrl;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;EGF;P01133;OID05618;1.402.065;952.198;124.279;FALSE;3.620.831;pg/mL;0.02046;0.47684;0.47684;FALSE;97.656.250;FALSE;PASS;PASS;0.37500;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;Ext Ctrl;NA;OID05609;1.245.959;0.00000;0.00000;FALSE;NA;NA;NA;NA;NA;FALSE;NA;FALSE;PASS;NA;0.00000;Calibrator Normalized;2.2.1;NPX Signature;ext_ctrl;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;FLT3LG;P49771;OID05596;1.335.853;997.834;0.69932;FALSE;10.167.196;pg/mL;0.01593;0.95367;0.95367;FALSE;390.625.003;FALSE;PASS;PASS;0.50000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;HGF;P14210;OID05595;1.368.142;1.078.987;233.225;FALSE;19.240.302;pg/mL;0.40041;0.22239;0.40041;FALSE;1.562.480.338;FALSE;PASS;PASS;0.37500;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
TARGET48;Olink Target 48 Cytokine;932011;MAIT_Alarmins3;F6;Calibrator1;CALIBRATOR;IFNG;P01579;OID05605;1.681.699;892.041;221.519;FALSE;279.770;pg/mL;0.01092;0.03993;0.03993;FALSE;388.180.300;FALSE;PASS;PASS;0.00000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.05169;-0.06035
